epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9843,1.0316,3.36177,1.28076,0.00218,1,0.55675,0.44866,0.59334,3.14463,1.1689,0.00036674,0.00036674,0.00036674
2,18.3906,0.95465,2.29921,1.22363,0.84653,0.3,0.69971,0.43865,0.802,2.99108,1.44745,0.000735297,0.000735297,0.000735297
3,25.8969,1.02218,2.00039,1.21084,0.90171,0.41667,0.67355,0.40398,1.03404,2.2909,1.60941,0.00108867,0.00108867,0.00108867
4,33.8074,1.02267,1.73323,1.17777,0.58013,0.84444,0.59684,0.34189,1.61157,3.73971,2.77183,0.00142686,0.00142686,0.00142686
5,40.8122,0.93158,1.57145,1.14447,0.51559,0.02778,0.00806,0.00176,3.97515,4.71472,3.94853,0.00153497,0.00153497,0.00153497
6,49.0878,0.98477,1.51269,1.1617,0.26162,0.29638,0.23946,0.07116,1.68843,4.38051,2.64507,0.00150197,0.00150197,0.00150197
7,55.8419,0.91867,1.31501,1.14985,0.46186,0.58889,0.50768,0.13776,1.94033,3.01608,4.17578,0.00146896,0.00146896,0.00146896
8,64.8447,1.00982,1.67212,1.1891,0.72174,0.7,0.70161,0.4944,0.90944,1.30805,1.3163,0.00143595,0.00143595,0.00143595
9,71.1765,0.94404,1.21797,1.14072,0.85448,0.9,0.925,0.73194,0.69383,1.0239,1.12857,0.00140295,0.00140295,0.00140295
10,79.3061,0.86287,1.01622,1.09314,0.96839,0.85893,0.92833,0.76687,1.01021,1.72807,1.35742,0.00136994,0.00136994,0.00136994
11,85.9843,0.86339,1.03728,1.11378,0.82068,0.84072,0.87164,0.68772,0.6031,1.07475,1.11856,0.00133693,0.00133693,0.00133693
12,94.5647,0.83108,0.92178,1.07709,0.96394,1,0.995,0.79868,0.76956,0.96869,1.132,0.00130393,0.00130393,0.00130393
13,101.138,0.80242,0.85774,1.05386,0.96659,1,0.995,0.75332,0.64395,0.63518,1.10575,0.00127092,0.00127092,0.00127092
14,109.732,0.85363,0.90568,1.08618,0.93624,0.97222,0.99368,0.79335,0.5898,0.7554,1.10703,0.00123791,0.00123791,0.00123791
15,116.389,0.79845,0.88123,1.06916,0.96073,1,0.995,0.78357,0.59166,0.74678,1.05341,0.00120491,0.00120491,0.00120491
16,124.344,0.80225,0.78648,1.05383,0.99077,1,0.995,0.82991,0.55671,0.45128,1.05525,0.0011719,0.0011719,0.0011719
