epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.071,2.00036,3.64543,2.04081,0.3467,0.52976,0.41437,0.16202,1.23729,8.12695,1.32406,0.000550917,0.000550917,0.000550917
2,32.0459,1.72788,2.94035,1.78875,0.3469,0.66071,0.39908,0.18877,1.15396,7.984,1.27762,0.00108467,0.00108467,0.00108467
3,46.9877,1.66874,2.68207,1.76815,0.32387,0.47321,0.37086,0.18029,1.42315,8.11833,1.48699,0.00159643,0.00159643,0.00159643
4,61.2101,1.70952,2.4884,1.76237,0.472,0.78024,0.60545,0.28838,1.09133,10.1925,1.26261,0.00156798,0.00156798,0.00156798
5,75.6963,1.69336,2.30021,1.76785,0.43227,0.79167,0.69078,0.3124,0.99832,7.02491,1.1501,0.00153497,0.00153497,0.00153497
6,90.4642,1.63262,2.18372,1.68522,0.5468,0.72917,0.75652,0.37596,1.1399,4.38036,1.32577,0.00150197,0.00150197,0.00150197
7,104.97,1.57639,2.01919,1.68563,0.86896,0.86444,0.92095,0.48001,1.06293,4.3944,1.18132,0.00146896,0.00146896,0.00146896
8,119.468,1.54413,1.82355,1.60737,0.6641,0.84719,0.87976,0.52011,0.91179,2.3408,1.00203,0.00143595,0.00143595,0.00143595
9,134.02,1.42804,1.70605,1.55396,0.74497,0.77325,0.82674,0.50606,0.89963,1.44858,1.03215,0.00140295,0.00140295,0.00140295
10,148.427,1.4023,1.59115,1.52928,0.9407,0.88591,0.9595,0.56887,0.97168,0.92641,1.05028,0.00136994,0.00136994,0.00136994
11,162.964,1.38786,1.50885,1.5115,0.81512,0.881,0.92849,0.5603,0.87935,1.95287,1.00087,0.00133693,0.00133693,0.00133693
12,177.076,1.38589,1.46115,1.47527,0.86699,0.89311,0.90235,0.56029,0.94788,0.80272,1.01567,0.00130393,0.00130393,0.00130393
13,192.705,1.34513,1.43422,1.50395,0.90361,0.96464,0.94682,0.54776,0.89039,1.24354,1.00155,0.00127092,0.00127092,0.00127092
14,206.982,1.28129,1.32282,1.45754,0.96572,0.97917,0.99255,0.57207,0.91722,0.75947,1.00687,0.00123791,0.00123791,0.00123791
15,221.419,1.33392,1.38863,1.47039,0.90481,0.9375,0.93413,0.56459,0.89884,1.22091,0.98925,0.00120491,0.00120491,0.00120491
16,235.411,1.28868,1.22666,1.39732,0.88853,0.95536,0.95043,0.59017,0.8969,0.80335,0.98112,0.0011719,0.0011719,0.0011719
17,249.879,1.2723,1.24475,1.40338,0.98841,0.92138,0.98408,0.62134,0.8802,0.92288,0.97959,0.00113889,0.00113889,0.00113889
